name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
n_13300_wind,wind,13300,10000,0,0,0,0,0,0,0,0
n_13721_wind,wind,13721,10000,0,0,0,0,0,0,0,0
n_14502_wind,wind,14502,10000,0,0,0,0,0,0,0,0
n_14626_wind,wind,14626,10000,0,0,0,0,0,0,0,0
n_15692_wind,wind,15692,10000,0,0,0,0,0,0,0,0
n_1572_wind,wind,1572,10000,0,0,0,0,0,0,0,0
n_1575_wind,wind,1575,10000,0,0,0,0,0,0,0,0
n_18137_wind,wind,18137,10000,0,0,0,0,0,0,0,0
n_18277_wind,wind,18277,10000,0,0,0,0,0,0,0,0
n_18278_wind,wind,18278,10000,0,0,0,0,0,0,0,0
n_18280_wind,wind,18280,10000,0,0,0,0,0,0,0,0
n_18293_wind,wind,18293,10000,0,0,0,0,0,0,0,0
n_18297_wind,wind,18297,10000,0,0,0,0,0,0,0,0
n_18298_wind,wind,18298,10000,0,0,0,0,0,0,0,0
n_18299_wind,wind,18299,10000,0,0,0,0,0,0,0,0
n_18310_wind,wind,18310,10000,0,0,0,0,0,0,0,0
n_1850_wind,wind,1850,10000,0,0,0,0,0,0,0,0
n_18705_wind,wind,18705,10000,0,0,0,0,0,0,0,0
n_18865_wind,wind,18865,10000,0,0,0,0,0,0,0,0
n_18992_wind,wind,18992,10000,0,0,0,0,0,0,0,0
n_22541_wind,wind,22541,10000,0,0,0,0,0,0,0,0
n_22779_wind,wind,22779,10000,0,0,0,0,0,0,0,0
n_23815_wind,wind,23815,10000,0,0,0,0,0,0,0,0
n_23853_wind,wind,23853,10000,0,0,0,0,0,0,0,0
n_28211_wind,wind,28211,10000,0,0,0,0,0,0,0,0
n_28509_wind,wind,28509,10000,0,0,0,0,0,0,0,0
n_28601_wind,wind,28601,10000,0,0,0,0,0,0,0,0
n_28617_wind,wind,28617,10000,0,0,0,0,0,0,0,0
n_28667_wind,wind,28667,10000,0,0,0,0,0,0,0,0
n_28702_wind,wind,28702,10000,0,0,0,0,0,0,0,0
n_28703_wind,wind,28703,10000,0,0,0,0,0,0,0,0
n_28710_wind,wind,28710,10000,0,0,0,0,0,0,0,0
n_29019_wind,wind,29019,10000,0,0,0,0,0,0,0,0
n_29255_wind,wind,29255,10000,0,0,0,0,0,0,0,0
n_30061_wind,wind,30061,10000,0,0,0,0,0,0,0,0
n_30065_wind,wind,30065,10000,0,0,0,0,0,0,0,0
n_30066_wind,wind,30066,10000,0,0,0,0,0,0,0,0
n_30086_wind,wind,30086,10000,0,0,0,0,0,0,0,0
n_30421_wind,wind,30421,10000,0,0,0,0,0,0,0,0
n_30941_wind,wind,30941,10000,0,0,0,0,0,0,0,0
n_31016_wind,wind,31016,10000,0,0,0,0,0,0,0,0
n_322_wind,wind,322,10000,0,0,0,0,0,0,0,0
n_3485_wind,wind,3485,10000,0,0,0,0,0,0,0,0
n_6048_wind,wind,6048,10000,0,0,0,0,0,0,0,0
