line,reactance,limit
n_9942_n_18290,0.784510542,917.4421196
n_23802_n_30494,1.224657526,2211.027892
n_1834_n_6891,0.577993346,19919.80965
n_19634_n_28669,4.069547412,1011.759388
n_9865_n_23787,1.067721514,2417.495132
n_28470_n_4473,5.81128128,4433.59427
n_23783_n_9867,4.690208885,922.4559782
n_9847_n_23775,2.82285025,1283.789971
n_10025_n_14045,1.609716977,574.6038648
n_26270_n_28300,0.439149032,1338.51153
n_23848_n_28671,1.060618229,2428.023001
n_26274_n_28309,0.293061392,1741.696299
n_26570_n_31224,0.00284438,35597.25606
n_28711_n_30943,1.293195194,2134.019802
n_7703_n_9823,1.234860042,2199.118413
n_29004_n_9898,6.681000514,732.689457
n_9483_n_23781,0.476967236,4085.034397
n_9864_n_9866,0.583696332,3581.822404
n_6691_n_25047,0.844783187,2815.662501
n_7089_n_9821,1.985993518,1614.017343
n_4532_n_4534,6.21110241,768.3143505
n_18692_n_28635,2.612769831,1350.07816
n_26276_n_28308,0.213353708,2141.500874
n_3494_n_30304,0.427573742,1361.991209
n_322_n_20897,2.674511683,1329.705892
n_2042_n_18704,0.043194517,6057.570153
n_9956_n_29011,4.950662764,890.5656206
n_4093_n_7049,3.799788891,1057.957808
n_6987_n_22602,1.256672472,675.1012229
n_9480_n_23781,0.641869715,3367.005609
n_30412_n_6669,6.096382562,777.6957975
n_9849_n_23777,2.036635432,1587.775905
n_18706_n_18707,0.887670865,846.5457884
n_15691_n_15692,5.18516919,268.3192395
n_18708_n_28211,0.585548438,1109.887813
n_4517_n_28664,4.695026267,921.839699
n_9886_n_23792,0.474850896,4096.877562
n_10014_n_14322,0.07025454,4413.442296
n_18292_n_18294,3.204617006,367.030555
n_14283_n_14301,0.156414013,2621.132824
n_6660_n_6678,1.139912996,2316.69191
n_18268_n_18269,0.141513133,2797.652704
n_6404_n_10053,2.09650609,483.8029403
n_9477_n_23596,2.800284854,1290.515195
n_13841_n_29284,0.655046671,1031.737586
n_18280_n_30525,5.22967077,859.3398683
n_6650_n_29015,0.180842774,7680.486096
n_9869_n_23788,0.040807119,20244.29552
n_9855_n_28996,0.637081157,3383.459429
n_6647_n_30416,0.384600745,1459.220406
n_9884_n_31012,0.29930895,1717.942231
n_7608_n_7607,0.675837833,3255.849298
n_13301_n_31027,3.101880278,6671.89275
n_16281_n_29255,0.886781207,847.0985803
n_6978_n_28707,2.380758682,445.3698083
n_6930_n_28700,3.082499784,376.4320513
n_9859_n_9858,7.674344353,669.4680993
n_29873_n_29874,0.928170831,2648.292733
n_4481_n_10025,2.208761742,1506.08973
n_28502_n_28505,3.106311614,1206.258131
n_1514_n_6177,0.366032165,4853.340147
n_2106_n_30943,0.058273362,4984.727998
n_1837_n_1924,13.30707974,2585.348394
n_28108_n_28506,0.717261651,972.5598972
n_23805_n_9911,4.642218227,928.6529177
n_9946_n_9950,0.613099517,3469.038328
n_18310_n_9883,0.796268606,908.5999063
n_15782_n_31027,2.467975152,435.059477
n_15628_n_15632,1.022377181,772.1570229
n_4095_n_21284,0.154734948,8500.993922
n_6658_n_6674,0.09948661,3518.987355
n_3_n_19163,2.149118409,476.0592399
n_9440_n_9479,6.693291781,731.8132695
n_6687_n_30413,0.062405498,15353.29813
n_28664_n_30882,0.059420693,15851.06013
n_8330_n_28842,0.394386889,4623.237831
n_16289_n_29240,1.825118573,529.4951506
n_7061_n_7064,2.291695166,1470.380227
n_11742_n_15662,4.435084102,297.0498739
n_27917_n_27921,0.015839056,37485.90487
n_17246_n_26258,2.83343266,397.6553118
n_26274_n_28310,0.455732375,1306.599087
n_275_n_4531,0.08242881,70783.08778
