PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
761.6421952,766.1693791,766.1693791,766.1693791,992.5329465,992.5329465,942.2919118,1038.711575,1038.711575,1051.812907,1051.812907,887.4428988
762.8809735,766.3773795,766.3773795,766.3773795,994.1472587,994.1472587,943.8245091,1038.993565,1038.993565,1052.098454,1052.098454,887.6838226
761.2292691,766.1693791,766.1693791,766.1693791,991.9948425,991.9948425,941.781046,1038.711575,1038.711575,1051.812907,1051.812907,887.4428988
761.8486582,766.68938,766.68938,766.68938,992.8019985,992.8019985,942.5473447,1039.416551,1039.416551,1052.526775,1052.526775,888.0452083
761.8486582,766.7933802,766.7933802,766.7933802,992.8019985,992.8019985,942.5473447,1039.557546,1039.557546,1052.669549,1052.669549,888.1656702
761.6421952,766.68938,766.68938,766.68938,992.5329465,992.5329465,942.2919118,1039.416551,1039.416551,1052.526775,1052.526775,888.0452083
762.0551213,767.0013806,767.0013806,767.0013806,993.0710506,993.0710506,942.8027776,1039.839536,1039.839536,1052.955096,1052.955096,888.406594
762.2615843,767.0013806,767.0013806,767.0013806,993.3401026,993.3401026,943.0582104,1039.839536,1039.839536,1052.955096,1052.955096,888.406594
761.2292691,767.209381,767.209381,767.209381,991.9948425,991.9948425,941.781046,1040.121527,1040.121527,1053.240643,1053.240643,888.6475179
761.6421952,766.8973804,766.8973804,766.8973804,992.5329465,992.5329465,942.2919118,1039.698541,1039.698541,1052.812322,1052.812322,888.2861321
762.0551213,767.209381,767.209381,767.209381,993.0710506,993.0710506,942.8027776,1040.121527,1040.121527,1053.240643,1053.240643,888.6475179
761.2292691,766.8973804,766.8973804,766.8973804,991.9948425,991.9948425,941.781046,1039.698541,1039.698541,1052.812322,1052.812322,888.2861321
762.4680474,767.1053808,767.1053808,767.1053808,993.6091546,993.6091546,943.3136433,1039.980531,1039.980531,1053.097869,1053.097869,888.527056
761.2292691,767.209381,767.209381,767.209381,991.9948425,991.9948425,941.781046,1040.121527,1040.121527,1053.240643,1053.240643,888.6475179
761.8486582,767.209381,767.209381,767.209381,992.8019985,992.8019985,942.5473447,1040.121527,1040.121527,1053.240643,1053.240643,888.6475179
760.816343,767.5213815,767.5213815,767.5213815,991.4567384,991.4567384,941.2701802,1040.544512,1040.544512,1053.668964,1053.668964,889.0089036
761.022806,767.4173813,767.4173813,767.4173813,991.7257904,991.7257904,941.5256131,1040.403517,1040.403517,1053.52619,1053.52619,888.8884417
762.2615843,767.3133811,767.3133811,767.3133811,993.3401026,993.3401026,943.0582104,1040.262522,1040.262522,1053.383417,1053.383417,888.7679798
761.2292691,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,941.781046,1040.262522,1040.262522,1053.383417,1053.383417,888.7679798
761.022806,766.2733793,766.2733793,766.2733793,991.7257904,991.7257904,941.5256131,1038.85257,1038.85257,1051.955681,1051.955681,887.5633607
761.022806,765.9613787,765.9613787,765.9613787,991.7257904,991.7257904,941.5256131,1038.429584,1038.429584,1051.52736,1051.52736,887.2019749
760.816343,766.3773795,766.3773795,766.3773795,991.4567384,991.4567384,941.2701802,1038.993565,1038.993565,1052.098454,1052.098454,887.6838226
761.4357321,766.5853798,766.5853798,766.5853798,992.2638945,992.2638945,942.0364789,1039.275555,1039.275555,1052.384002,1052.384002,887.9247464
761.4357321,766.0653789,766.0653789,766.0653789,992.2638945,992.2638945,942.0364789,1038.570579,1038.570579,1051.670134,1051.670134,887.3224368
761.2292691,766.5853798,766.5853798,766.5853798,991.9948425,991.9948425,941.781046,1039.275555,1039.275555,1052.384002,1052.384002,887.9247464
760.816343,766.2733793,766.2733793,766.2733793,991.4567384,991.4567384,941.2701802,1038.85257,1038.85257,1051.955681,1051.955681,887.5633607
760.4034169,765.8573785,765.8573785,765.8573785,990.9186343,990.9186343,940.7593145,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
760.4034169,766.3773795,766.3773795,766.3773795,990.9186343,990.9186343,940.7593145,1038.993565,1038.993565,1052.098454,1052.098454,887.6838226
759.7840277,766.0653789,766.0653789,766.0653789,990.1114782,990.1114782,939.9930158,1038.570579,1038.570579,1051.670134,1051.670134,887.3224368
759.1646386,765.8573785,765.8573785,765.8573785,989.3043221,989.3043221,939.2267172,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
759.5775647,766.0653789,766.0653789,766.0653789,989.8424262,989.8424262,939.7375829,1038.570579,1038.570579,1051.670134,1051.670134,887.3224368
759.7840277,765.8573785,765.8573785,765.8573785,990.1114782,990.1114782,939.9930158,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
758.3387864,765.8573785,765.8573785,765.8573785,988.228114,988.228114,938.2049856,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
759.9904908,765.6493782,765.6493782,765.6493782,990.3805303,990.3805303,940.2484487,1038.006599,1038.006599,1051.099039,1051.099039,886.8405892
759.9904908,766.68938,766.68938,766.68938,990.3805303,990.3805303,940.2484487,1039.416551,1039.416551,1052.526775,1052.526775,888.0452083
758.3387864,765.6493782,765.6493782,765.6493782,988.228114,988.228114,938.2049856,1038.006599,1038.006599,1051.099039,1051.099039,886.8405892
759.7840277,766.4813796,766.4813796,766.4813796,990.1114782,990.1114782,939.9930158,1039.13456,1039.13456,1052.241228,1052.241228,887.8042845
760.4034169,766.0653789,766.0653789,766.0653789,990.9186343,990.9186343,940.7593145,1038.570579,1038.570579,1051.670134,1051.670134,887.3224368
