g,t,var,multiplier
PP_3264_8,24,UT_Obl,40.0
PP_3264_8,24,UnitOn,35.05581575298137
PP_3264_8,48,DT_Obl,0.22780551368579804
PP_3264_8,48,PowerGenerated,-147.37854322816736
PP_3264_8,48,UT_Obl,24.129741405157343
PP_3264_8,48,UnitOn,19.185557158138703
PP_3264_CT11,24,DT_Obl,-0.5205920843101994
PP_3264_CT11,24,PowerGenerated,-377.97101710754066
PP_3264_CT11,24,UT_Obl,153.64770709993059
PP_3264_CT11,24,UnitOn,33.95025039684008
PP_3264_CT11,48,DT_Obl,-3.4713184506865757
PP_3264_CT11,48,PowerGenerated,21.551739168176823
PP_3264_CT11,48,UT_Obl,278.3464393675136
PP_3264_CT11,48,UnitOn,52.030714025213236
PP_3264_CT12,24,DT_Obl,-0.5205920843101994
PP_3264_CT12,24,PowerGenerated,-377.97101710754066
PP_3264_CT12,24,UT_Obl,153.64770709993059
PP_3264_CT12,24,UnitOn,33.95025039684008
PP_3264_CT12,48,DT_Obl,-3.4713184506865757
PP_3264_CT12,48,PowerGenerated,21.551739168176823
PP_3264_CT12,48,UT_Obl,278.3464393675136
PP_3264_CT12,48,UnitOn,52.030714025213236
PP_3264_ST10,24,DT_Obl,17.607373084736338
PP_3264_ST10,24,PowerGenerated,-22.98848645988363
PP_3264_ST10,24,UT_Obl,1.1282751336683647
PP_3264_ST10,24,UnitOn,36.85928282514346
PP_3264_ST10,48,DT_Obl,-10.08920064207636
PP_3264_ST10,48,PowerGenerated,-43.58544974099436
PP_3264_ST10,48,UT_Obl,1.0355452643846634
PP_3264_ST10,48,UnitOn,15.175868993571799
PP_3291_GT2,24,DT_Obl,32.0
PP_3291_GT2,24,PowerGenerated,-480.5394070166721
PP_3291_GT2,24,UT_Obl,-1.680837422040634
PP_3291_GT2,24,UnitOn,-36.44857889664876
PP_3291_GT2,48,DT_Obl,32.0
PP_3291_GT2,48,PowerGenerated,34.99999999999778
PP_3291_GT2,48,UT_Obl,0.0783588009397268
PP_3291_GT2,48,UnitOn,30.0
PP_3291_GT3,24,DT_Obl,32.0
PP_3291_GT3,24,PowerGenerated,-551.557590636316
PP_3291_GT3,24,UT_Obl,-1.680837422040634
PP_3291_GT3,24,UnitOn,-36.44857889664876
PP_3291_GT3,48,DT_Obl,32.0
PP_3291_GT3,48,PowerGenerated,35.0
PP_3291_GT3,48,UT_Obl,0.0783588009397268
PP_3291_GT3,48,UnitOn,30.0
PP_3291_GT4,24,DT_Obl,32.0
PP_3291_GT4,24,PowerGenerated,-551.557590636316
PP_3291_GT4,24,UT_Obl,-1.680837422040634
PP_3291_GT4,24,UnitOn,-36.44857889664876
