g,t,var,multiplier
PP_2706_GT2,96,UnitOn,29.917957862103247
PP_2706_GT2,144,DT_Obl,29.91675127350741
PP_2706_GT2,144,PowerGenerated,17.623475193467662
PP_2706_GT2,144,UT_Obl,40.0
PP_2706_GT2,144,UnitOn,29.917957862103247
PP_2706_GT2,192,DT_Obl,29.91675127350741
PP_2706_GT2,192,PowerGenerated,17.623475193467662
PP_2706_GT2,192,UT_Obl,40.0
PP_2706_GT2,192,UnitOn,29.917957862103247
PP_2706_GT2,240,DT_Obl,29.91675127350741
PP_2706_GT2,240,PowerGenerated,17.623475193467662
PP_2706_GT2,240,UT_Obl,40.0
PP_2706_GT2,240,UnitOn,29.917957862103247
PP_2706_GT2,288,DT_Obl,29.91675127350741
PP_2706_GT2,288,PowerGenerated,17.623475193467662
PP_2706_GT2,288,UT_Obl,40.0
PP_2706_GT2,288,UnitOn,29.917957862103247
PP_2706_ST6,48,DT_Obl,31.662290704141114
PP_2706_ST6,48,PowerGenerated,-60.368947425406446
PP_2706_ST6,48,UT_Obl,29.526763416197767
PP_2706_ST6,48,UnitOn,27.91675127350741
PP_2706_ST6,96,DT_Obl,32.02767818461805
PP_2706_ST6,96,PowerGenerated,-9.929458826614592
PP_2706_ST6,96,UT_Obl,37.36110087831025
PP_2706_ST6,96,UnitOn,29.328068625975316
PP_2706_ST6,144,DT_Obl,31.377186105021302
PP_2706_ST6,144,PowerGenerated,-29.32533218501861
PP_2706_ST6,144,UT_Obl,31.237391010916657
PP_2706_ST6,144,UnitOn,28.356567793789033
PP_2706_ST6,192,DT_Obl,37.086255935578606
PP_2706_ST6,192,PowerGenerated,-56.043743244705226
PP_2706_ST6,192,UT_Obl,31.988945742743862
PP_2706_ST6,192,UnitOn,28.024051867410822
PP_2706_ST6,240,DT_Obl,32.0
PP_2706_ST6,240,PowerGenerated,-52.97018474432535
PP_2706_ST6,240,UT_Obl,27.500507641044464
PP_2706_ST6,240,UnitOn,28.18263865167153
PP_2706_ST6,288,DT_Obl,32.0
PP_2706_ST6,288,PowerGenerated,-8.692276709062368
PP_2706_ST6,288,UT_Obl,27.500507641044464
PP_2706_ST6,288,UnitOn,28.755784672601052
PP_2706_ST8,48,DT_Obl,31.665777921834202
PP_2706_ST8,48,PowerGenerated,-60.368947425406446
PP_2706_ST8,48,UT_Obl,29.505840110039244
PP_2706_ST8,48,UnitOn,27.91675127350741
PP_2706_ST8,96,DT_Obl,32.04511427308345
PP_2706_ST8,96,PowerGenerated,-9.929458826614592
PP_2706_ST8,96,UT_Obl,37.36110087831025
PP_2706_ST8,96,UnitOn,29.328068625975316
PP_2706_ST8,144,DT_Obl,30.274911540056873
PP_2706_ST8,144,PowerGenerated,-30.343260404658736
PP_2706_ST8,144,UT_Obl,30.508689359850734
PP_2706_ST8,144,UnitOn,28.60131276181745
PP_2706_ST8,192,DT_Obl,38.298813996111015
PP_2706_ST8,192,PowerGenerated,-60.368947425406446
PP_2706_ST8,192,UT_Obl,33.91623762931586
PP_2706_ST8,192,UnitOn,27.91675127350741
PP_2706_ST8,240,DT_Obl,30.755784672601052
PP_2706_ST8,240,PowerGenerated,-53.03093802237302
PP_2706_ST8,240,UT_Obl,34.96579960543815
PP_2706_ST8,240,UnitOn,28.18263865167153
PP_2706_ST8,288,DT_Obl,32.0
PP_2706_ST8,288,PowerGenerated,-8.692437804687836
PP_2706_ST8,288,UT_Obl,27.500507641044464
PP_2706_ST8,288,UnitOn,28.755784672601052
PP_2707_GT1,48,DT_Obl,32.0
PP_2707_GT1,48,PowerGenerated,12.617716112637416
PP_2707_GT1,48,UT_Obl,37.91675127350742
PP_2707_GT1,48,UnitOn,30.0
PP_2707_GT1,96,DT_Obl,32.0
PP_2707_GT1,96,PowerGenerated,-1.4568527136203375
PP_2707_GT1,96,UT_Obl,37.91675127350742
PP_2707_GT1,96,UnitOn,27.91675127350741
PP_2707_GT1,144,DT_Obl,32.0
PP_2707_GT1,144,PowerGenerated,33.43903938337751
PP_2707_GT1,144,UT_Obl,37.91675127350742
PP_2707_GT1,144,UnitOn,30.0
PP_2707_GT1,192,DT_Obl,32.0
PP_2707_GT1,192,PowerGenerated,10.769197280166425
PP_2707_GT1,192,UT_Obl,37.91675127350742
PP_2707_GT1,192,UnitOn,29.755255031971583
PP_2707_GT1,240,DT_Obl,32.0
PP_2707_GT1,240,PowerGenerated,24.36439679625967
PP_2707_GT1,240,UT_Obl,37.91675127350742
PP_2707_GT1,240,UnitOn,30.0
PP_2707_GT1,288,DT_Obl,32.0
PP_2707_GT1,288,PowerGenerated,-1.4568527136203375
PP_2707_GT1,288,UT_Obl,37.91675127350742
PP_2707_GT1,288,UnitOn,27.91675127350741
PP_2707_GT2,48,DT_Obl,29.91675127350741
PP_2707_GT2,48,PowerGenerated,-1.4568527136203375
PP_2707_GT2,48,UT_Obl,40.0
PP_2707_GT2,48,UnitOn,27.91675127350741
PP_2707_GT2,96,DT_Obl,29.91675127350741
PP_2707_GT2,96,PowerGenerated,-1.4568527136203375
PP_2707_GT2,96,UT_Obl,40.0
PP_2707_GT2,96,UnitOn,27.91675127350741
PP_2707_GT2,144,DT_Obl,29.91675127350741
PP_2707_GT2,144,PowerGenerated,-1.4568527136203375
PP_2707_GT2,144,UT_Obl,40.0
PP_2707_GT2,144,UnitOn,27.91675127350741
PP_2707_GT2,192,DT_Obl,29.91675127350741
PP_2707_GT2,192,PowerGenerated,-1.4568527136203375
PP_2707_GT2,192,UT_Obl,40.0
PP_2707_GT2,192,UnitOn,27.91675127350741
PP_2707_GT2,240,DT_Obl,29.91675127350741
PP_2707_GT2,240,PowerGenerated,-1.4568527136203375
PP_2707_GT2,240,UT_Obl,40.0
PP_2707_GT2,240,UnitOn,27.91675127350741
PP_2707_GT2,288,DT_Obl,29.91675127350741
PP_2707_GT2,288,PowerGenerated,-1.4568527136203375
PP_2707_GT2,288,UT_Obl,40.0
PP_2707_GT2,288,UnitOn,27.91675127350741
PP_2707_GT3,48,DT_Obl,29.91675127350741
PP_2707_GT3,48,PowerGenerated,-1.4568527136203375
PP_2707_GT3,48,UT_Obl,40.0
PP_2707_GT3,48,UnitOn,27.91675127350741
PP_2707_GT3,96,DT_Obl,29.91675127350741
PP_2707_GT3,96,PowerGenerated,-1.4568527136203375
PP_2707_GT3,96,UT_Obl,40.0
PP_2707_GT3,96,UnitOn,27.91675127350741
PP_2707_GT3,144,DT_Obl,29.91675127350741
PP_2707_GT3,144,PowerGenerated,-1.4568527136203375
PP_2707_GT3,144,UT_Obl,40.0
PP_2707_GT3,144,UnitOn,27.91675127350741
PP_2707_GT3,192,DT_Obl,29.91675127350741
PP_2707_GT3,192,PowerGenerated,-1.4568527136203375
PP_2707_GT3,192,UT_Obl,40.0
PP_2707_GT3,192,UnitOn,27.91675127350741
PP_2707_GT3,240,DT_Obl,29.91675127350741
PP_2707_GT3,240,PowerGenerated,-1.4568527136203375
PP_2707_GT3,240,UT_Obl,40.0
PP_2707_GT3,240,UnitOn,27.91675127350741
PP_2707_GT3,288,DT_Obl,29.91675127350741
PP_2707_GT3,288,PowerGenerated,-1.4568527136203375
PP_2707_GT3,288,UT_Obl,40.0
PP_2707_GT3,288,UnitOn,27.91675127350741
PP_2707_GT4,48,DT_Obl,29.91675127350741
PP_2707_GT4,48,PowerGenerated,-1.4568527136203375
PP_2707_GT4,48,UT_Obl,40.0
PP_2707_GT4,48,UnitOn,27.91675127350741
PP_2707_GT4,96,DT_Obl,29.91675127350741
PP_2707_GT4,96,PowerGenerated,-1.4568527136203375
PP_2707_GT4,96,UT_Obl,40.0
PP_2707_GT4,96,UnitOn,27.91675127350741
PP_2707_GT4,144,DT_Obl,30.418114893308456
PP_2707_GT4,144,PowerGenerated,-1.4568527136203375
PP_2707_GT4,144,UT_Obl,39.49863638019896
PP_2707_GT4,144,UnitOn,27.91675127350741
PP_2707_GT4,192,DT_Obl,32.0
PP_2707_GT4,192,PowerGenerated,0.17070132376862635
PP_2707_GT4,192,UT_Obl,37.91675127350742
PP_2707_GT4,192,UnitOn,28.161496241535826
PP_2707_GT4,240,DT_Obl,29.91675127350741
PP_2707_GT4,240,PowerGenerated,22.80898996293467
PP_2707_GT4,240,UT_Obl,40.0
PP_2707_GT4,240,UnitOn,30.0
PP_2707_GT4,288,DT_Obl,29.91675127350741
PP_2707_GT4,288,PowerGenerated,-1.4568527136203375
PP_2707_GT4,288,UT_Obl,40.0
PP_2707_GT4,288,UnitOn,27.91675127350741
PP_2709_1,48,DT_Obl,31.767022283307746
PP_2709_1,48,PowerGenerated,-45.46349670661384
PP_2709_1,48,UT_Obl,38.14972899019967
PP_2709_1,48,UnitOn,28.963739650124253
PP_2709_1,96,DT_Obl,31.682510057015477
PP_2709_1,96,PowerGenerated,-3.626268667009331
PP_2709_1,96,UT_Obl,38.23424121649193
PP_2709_1,96,UnitOn,29.244860268314966
PP_2709_1,144,DT_Obl,32.0
PP_2709_1,144,PowerGenerated,0.15656951162299393
PP_2709_1,144,UT_Obl,37.91675127350742
PP_2709_1,144,UnitOn,29.401758838774384
PP_2709_1,192,DT_Obl,32.0
PP_2709_1,192,PowerGenerated,-3.891454424758585
PP_2709_1,192,UT_Obl,37.91675127350742
PP_2709_1,192,UnitOn,29.64795443806817
PP_2709_1,240,DT_Obl,31.654527138225234
PP_2709_1,240,PowerGenerated,-7.426635744956577
PP_2709_1,240,UT_Obl,38.26222413528218
PP_2709_1,240,UnitOn,29.35038524240723
PP_2709_1,288,DT_Obl,30.849876788939127
PP_2709_1,288,PowerGenerated,8.753140970679855
PP_2709_1,288,UT_Obl,39.06687448456829
PP_2709_1,288,UnitOn,29.75918271212033
PP_2709_1A,48,DT_Obl,22.21254154034042
PP_2709_1A,48,PowerGenerated,-21.792735107188086
PP_2709_1A,48,UT_Obl,40.0
PP_2709_1A,48,UnitOn,29.45759322014081
